DATASET, #TRAINING_RELEASES, %TRAINING_INSTANCES, CLASSIFIER, BALANCING, PRECISION, RECALL, AUC, KAPPA, TP, FP, TN, FN
zookeeper,22,85.49889135254989,Naive Bayes,Undersampling,0.9989094874591058,0.7024539877300614,0.8067245015337423,0.009191248062438075,1832.0,2.0,6.0,776.0
zookeeper,23,84.61201227531784,Naive Bayes,Undersampling,1.0,0.8315527065527065,0.8696914937341024,0.0,2335.0,0.0,0.0,473.0
zookeeper,1,7.142857142857143,IBk,Undersampling,0.9675925925925926,0.774074074074074,0.6095541838134431,0.03703703703703689,1045.0,35.0,19.0,305.0
zookeeper,2,12.435233160621761,IBk,Undersampling,0.9775112443778111,0.8834688346883469,0.7498494429388738,0.08570357276768913,1304.0,30.0,15.0,172.0
zookeeper,3,16.748768472906406,IBk,Undersampling,0.8812720848056537,0.9555555555555556,0.6118880374627501,0.22574498276910573,1247.0,168.0,48.0,58.0
zookeeper,4,29.927007299270073,IBk,Undersampling,0.9552012148823082,0.8174139051332033,0.7599846667423016,0.3334558598296881,1258.0,59.0,130.0,281.0
zookeeper,5,39.24050632911393,IBk,Undersampling,0.8596721311475409,0.9458874458874459,0.7461530509776124,0.37802089405012795,1311.0,214.0,128.0,75.0
zookeeper,6,51.02040816326531,IBk,Undersampling,0.923265306122449,0.8213507625272332,0.8376999422751057,0.4766463033334936,1131.0,94.0,257.0,246.0
zookeeper,7,62.1923937360179,IBk,Undersampling,0.8916595012897678,0.8863247863247863,0.8140660384250128,0.5236950063658224,1037.0,126.0,225.0,133.0
zookeeper,8,59.73154362416108,IBk,Undersampling,0.9609530112508272,0.7538940809968847,0.799368293527172,0.282042071705992,1452.0,59.0,175.0,474.0
zookeeper,9,62.96296296296296,IBk,Undersampling,0.9005059021922428,0.8855721393034826,0.7161336401247954,0.36860278702676036,1602.0,177.0,174.0,207.0
zookeeper,10,66.94214876033058,IBk,Undersampling,0.8805522208883554,0.8624338624338624,0.7723100214022509,0.41726667115268157,1467.0,199.0,260.0,234.0
zookeeper,11,70.92882991556091,IBk,Undersampling,0.8659987476518473,0.8681732580037664,0.8026031858129316,0.4977488547667264,1383.0,214.0,362.0,210.0
zookeeper,12,72.39635995955511,IBk,Undersampling,0.8936055883933369,0.8323323323323323,0.7187345297367084,0.35962028491833997,1663.0,198.0,261.0,335.0
